-0.78345,-0.020922,1.4061,0.20784,-0.41308,1.5695,-1.2301,0.49738,-0.26983,-0.73016,1.8126,0.38778,-1.2782,1.3194,-0.40704,1.8059,-0.081615,-0.83009,0.23296,-0.74331,-1.2206,1.0641,-0.84421,0.84849,-1.1784,-0.34826,1.118,-0.21888,-1.3435,0.88535,-1.2561,-0.97207,1.4317,-0.21817,-0.11984,1.2638,1.7648,0.98544,-0.26156,-1.3527,-1.2413,-0.85166,-0.15895,-0.67359,1.3206,0.40929,0.73094,-0.31978,-1.2633,-1.2836,1.1541,-0.78521,-0.146,0.50404,0.66655,-1.3161,1.5905,-0.48746,0.77025,-0.95773,-0.93586,-0.739,-1.2968,-1.2263,-0.8512,0.35127,0.62706,0.68222,1.5648,1.7302
-0.72955,-0.22543,1.4895,0.50088,-0.26768,1.4523,-1.2617,0.59648,-0.20382,-0.78708,1.5304,0.5392,-1.2684,1.5432,-0.29454,1.4635,-0.251,-0.76013,0.46134,-0.83879,-1.3211,1.558,-0.81808,0.54518,-1.309,-0.25295,1.5533,-0.14066,-1.3575,0.4885,-1.3172,-0.90965,1.422,-0.17471,-0.24875,1.5473,1.5131,0.63002,-0.1962,-1.3624,-1.325,-0.80283,-0.17229,-0.83354,1.4777,0.52686,0.53874,-0.2445,-1.2335,-1.2231,1.5119,-0.80569,-0.21927,0.59798,0.5472,-1.3296,1.4204,-0.31377,0.50281,-0.90845,-0.89786,-0.8665,-1.244,-1.2239,-0.81798,0.5417,0.66883,0.63549,1.4915,1.5246
1.8998,-0.85978,1.0325,-1.1752,-1.0963,1.9786,-0.46556,0.87609,0.43805,-0.29203,-0.51105,-0.29203,0.36504,0.14602,-0.82602,-0.74949,-0.74949,1.7759,-1.0556,-0.67297,-1.2087,-1.1226,0.33011,-0.96969,-1.352,-0.5874,-0.81677,1.6299,-0.72127,-1.109,-0.72127,-1.1865,1.4499,1.9152,-0.48864,-0.33889,-0.26344,-1.2442,1.0191,-1.0933,-0.94241,1.0191,0.89717,-0.95479,0.52678,0.30454,-0.51032,0.0082309,1.0453,1.9313,-0.49759,0.33735,0.033735,1.6277,-0.042168,-0.26988,0.951,-1.2623,-0.72809,-1.0334,-0.65177,-0.88073,1.4853,0.21043,-0.097875,-0.56033,1.9832,0.90412,1.9832,0.28751
2,3,5,4,3,5,1,4,3,2,5,4,1,5,3,5,3,2,4,2,1,5,2,4,1,3,5,3,1,4,1,2,5,3,3,5,5,4,3,1,1,2,3,2,5,4,4,3,1,1,5,2,3,4,4,1,5,3,4,2,2,2,1,1,2,4,4,4,5,5
